	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	LoA	Semesters	GPA	LoA	Semesters	GPA	LoA	Semesters	GPA
									
4.hsarea_clean	0.00969	0.0837	0.137**	-0.00635	-0.0116	0.141**	-0.0398	-0.0976*	-0.159
	(0.0267)	(0.0713)	(0.0562)	(0.0315)	(0.0720)	(0.0694)	(0.0277)	(0.0541)	(0.153)
5.hsarea_clean	0.0214	0.0179	0.0857*	0.0392	0.0790	0.0285	0.0182	0.00547	-0.0842
	(0.0218)	(0.0533)	(0.0489)	(0.0298)	(0.0703)	(0.0622)	(0.0421)	(0.0761)	(0.139)
6.hsarea_clean	-0.00180	-0.00843	0.153***	-0.0562*	-0.105	0.210***	-0.0356	-0.0667	0.0783
	(0.0262)	(0.0675)	(0.0537)	(0.0297)	(0.0699)	(0.0671)	(0.0296)	(0.0685)	(0.132)
7.hsarea_clean	0.0901***	0.0745	0.0343	0.0795**	0.110	0.125*	-0.0105	-0.0309	0.129
	(0.0309)	(0.0681)	(0.0652)	(0.0352)	(0.0761)	(0.0742)	(0.0331)	(0.0726)	(0.156)
8.hsarea_clean	0.00613	0.0145	0.0664**	-0.00194	-0.0110	0.0476	-0.00962	-0.0453	-0.0251
	(0.0147)	(0.0379)	(0.0338)	(0.0180)	(0.0410)	(0.0425)	(0.0218)	(0.0452)	(0.0857)
9.hsarea_clean	-0.0849***	-0.217***	0.0558	-0.0613*	-0.160**	0.0599	-0.0309	-0.0599	0.0191
	(0.0275)	(0.0619)	(0.0704)	(0.0324)	(0.0705)	(0.0840)	(0.0325)	(0.0677)	(0.177)
10.hsarea_clean	-0.0202	-0.0537	-0.0120	-0.0307	-0.0646	0.0277	0.00560	-0.0201	0.137
	(0.0265)	(0.0664)	(0.0592)	(0.0316)	(0.0730)	(0.0835)	(0.0381)	(0.0709)	(0.161)
11.hsarea_clean	0.0160	0.0185	-0.0274	0.00761	0.0617	-0.113	-0.0623***	-0.119**	0.0352
	(0.0264)	(0.0643)	(0.0571)	(0.0326)	(0.0801)	(0.0893)	(0.0201)	(0.0496)	(0.148)
12.hsarea_clean	-0.0762***	-0.148**	0.211***	-0.0547*	-0.0959	0.344***	-0.0221	-0.0547	0.114
	(0.0244)	(0.0626)	(0.0515)	(0.0289)	(0.0702)	(0.0669)	(0.0309)	(0.0647)	(0.156)
13.hsarea_clean	-0.0341	-0.111*	0.144***	0.0139	-0.0227	0.193**	-0.0635***	-0.123**	0.0990
	(0.0235)	(0.0575)	(0.0557)	(0.0331)	(0.0719)	(0.0764)	(0.0208)	(0.0506)	(0.155)
14.hsarea_clean	-0.0121	-0.0470	0.113**	0.0108	-0.00382	0.130*	-0.0587***	-0.112**	-0.138
	(0.0219)	(0.0559)	(0.0479)	(0.0290)	(0.0642)	(0.0687)	(0.0212)	(0.0572)	(0.133)
15.hsarea_clean	0.0424**	0.0617	0.0478	0.0344	0.0575	0.201***	-0.0126	-0.0459	0.0775
	(0.0214)	(0.0529)	(0.0463)	(0.0255)	(0.0591)	(0.0549)	(0.0288)	(0.0608)	(0.119)
16.hsarea_clean	0.0236	-0.00813	0.361***	0.00265	-0.0852	0.470***	-0.0640***	-0.124**	0.577**
	(0.0390)	(0.0903)	(0.102)	(0.0545)	(0.106)	(0.103)	(0.0214)	(0.0534)	(0.225)
17.hsarea_clean	-0.0187	-0.118	-1.408*	0.171	0.148	-0.0379	-0.0605**	-0.122**	-0.566
	(0.165)	(0.331)	(0.809)	(0.195)	(0.348)	(0.354)	(0.0235)	(0.0572)	(0.346)
elig_2013plus_456				0.0138	0.0397	0.0246			
				(0.0269)	(0.0614)	(0.0582)			
runvar_2013				0.0189	0.0521	-0.0618			
				(0.0215)	(0.0497)	(0.0486)			
TR2013				-0.00840	-0.0269	0.0980*			
				(0.0251)	(0.0579)	(0.0568)			
elig_2015plus_7							0.00927	-0.0156	0.0889
							(0.0262)	(0.0478)	(0.118)
runvar_2015							0.00160	-0.0143	0.0397
							(0.0136)	(0.0260)	(0.0603)
o.TR2015							-	-	-
									
Constant	0.119***	0.275***	-0.0233	0.0330	0.129	-0.129*	0.0571**	0.131**	-0.00585
	(0.0238)	(0.0583)	(0.0537)	(0.0345)	(0.0782)	(0.0778)	(0.0264)	(0.0573)	(0.137)
									
Observations	10,493	10,493	10,237	6,379	6,379	6,322	1,586	1,586	1,554
R-squared	0.068	0.045	0.021	0.073	0.050	0.015	0.020	0.017	0.026
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
